form	lemma_def	pos	type	src_mot
dedenzeine	denzain	adjectif	qualificatif	
deesrain	derrain	adjectif	qualificatif	
defenssables	défensable	adjectif	qualificatif	
deffansables	défensable	adjectif	qualificatif	
deffensables	défensable	adjectif	qualificatif	
deforienes	deforain	adjectif	qualificatif	
dehor	dur	adjectif	qualificatif	
delgiet	douge	adjectif	qualificatif	
delgiéz	douge	adjectif	qualificatif	
delicieus	délicieux	adjectif	qualificatif	
delicieuse	délicieux	adjectif	qualificatif	
delicieuses	délicieux	adjectif	qualificatif	
delicieux	délicieux	adjectif	qualificatif	
delictable	délectable	adjectif	qualificatif	
delictable	délitable	adjectif	qualificatif	
delictables	délectable	adjectif	qualificatif	
delictables	délitable	adjectif	qualificatif	
deliteuse	déliteux	adjectif	qualificatif	
deliteuz	déliteux	adjectif	qualificatif	
delyvre	délivre	adjectif	qualificatif	
demaíne	demaine	adjectif	qualificatif	
demainne	demaine	adjectif	qualificatif	
demesurees	démesuré	adjectif	qualificatif	
demoniaclez	démoniaque	adjectif	qualificatif	
depourveü	dépourvu	adjectif	qualificatif	
der	dur	adjectif	qualificatif	
der	derrain	adjectif	qualificatif	
deraines	derrain	adjectif	qualificatif	
derniere	dernier	adjectif	qualificatif	
derniers	dernier	adjectif	qualificatif	
derrien	derrain	adjectif	qualificatif	
derrienne	derrain	adjectif	qualificatif	
desavantageux	désavantageux	adjectif	qualificatif	
descouvenables	déconvenable	adjectif	qualificatif	
desdaingneuse	dédaigneux	adjectif	qualificatif	
desdictz	ledit	adjectif	qualificatif	
desfensauvles	défensable	adjectif	qualificatif	
desfensavle	défensable	adjectif	qualificatif	
deshonnourable	déshonorable	adjectif	qualificatif	
deshonnourables	déshonorable	adjectif	qualificatif	
desireus	désireux	adjectif	qualificatif	
desireuse	désireux	adjectif	qualificatif	
desireux	désireux	adjectif	qualificatif	
desirrex	désireux	adjectif	qualificatif	
desirrouz	désireux	adjectif	qualificatif	
desirroz	désireux	adjectif	qualificatif	
desirus	désireux	adjectif	qualificatif	
desleaus	déloyal	adjectif	qualificatif	
desloialles	déloyal	adjectif	qualificatif	
desloiaulx	déloyal	adjectif	qualificatif	
desloiaux	déloyal	adjectif	qualificatif	
desloyal	déloyal	adjectif	qualificatif	
desloyaus	déloyal	adjectif	qualificatif	
desmesurés	démesuré	adjectif	qualificatif	
despiteuse	dépiteux	adjectif	qualificatif	
despiteux	dépiteux	adjectif	qualificatif	
despourveus	dépourvu	adjectif	qualificatif	
desraisonnable	déraisonnable	adjectif	qualificatif	
desraisonnables	déraisonnable	adjectif	qualificatif	
deuantriene	devantrain	adjectif	qualificatif	
deuantriene	devantrien	adjectif	qualificatif	
deuentrienes	devantrien	adjectif	qualificatif	
devost	dévot	adjectif	qualificatif	
devoste	dévot	adjectif	qualificatif	
devostes	dévot	adjectif	qualificatif	
devostz	dévot	adjectif	qualificatif	
devotez	dévot	adjectif	qualificatif	
dezen	sain	adjectif	cardinal	
dezen	gent	adjectif	cardinal	
dezen	décent	adjectif	cardinal	
dí	motnombre	adjectif	qualificatif	
diaiz	tiois	adjectif	qualificatif	
diale	dial	adjectif	qualificatif	
dicibles	dicible	adjectif	qualificatif	
dïene	doyen	adjectif	qualificatif	
differenciees	différencié	adjectif	qualificatif	
differenciez	différencié	adjectif	qualificatif	
differentes	différent	adjectif	qualificatif	
difficible	difficile	adjectif	qualificatif	
difficile	difficile	adjectif	qualificatif	
difficiles	difficile	adjectif	qualificatif	
difficille	difficile	adjectif	qualificatif	
difficilles	difficile	adjectif	qualificatif	
dignus	digne	adjectif	qualificatif	
