form	lemma_def	pos	type	src_mot
inchy	ainsi	ADVgen	_	_
incontinant	incontinent	ADVgen	_	_
indeuement	indûment	ADVgen	_	_
indiferanment	indifféremment	ADVgen	_	_
indifferentement	indifféremment	ADVgen	_	_
inseparablement	inséparablement	ADVgen	_	_
insupportablement	insupportablement	ADVgen	_	_
invisiblement	invisiblement	ADVgen	_	_
irïement	irément	ADVgen	_	_
isnelemeut	isnellement	ADVgen	_	_
issint	ainsi	ADVgen	_	_
ítánz	item	ADVgen	_	_
iterum	iterum	ADVgen	_	_
jaçoit	jà	ADVgen	_	_
jadys	jadis	ADVgen	_	_
jamaix	jamais	ADVgen	_	_
jamès	jamais	ADVgen	_	_
jaméz	jamais	ADVgen	_	_
jammés	jamais	ADVgen	_	_
jasoit	jà+être	ADVgen+VERcjg	_	_
jassoit	jà	ADVgen	_	_
joyeusement	joyeusement	ADVgen	_	_
kui	qui	ADVgen	_	_
laborieusement	laborieusement	ADVgen	_	_
laïs	là	ADVgen	_	_
lajus	jus	ADVgen	lieu	_
lajus	là-jus	ADVgen	_	_
larrecineusement	larcineusement	ADVgen	_	_
laüs	lou	ADVgen	_	_
legiérement	légèrement	ADVgen	_	_
legièrement	légèrement	ADVgen	_	_
legierment	légèrement	ADVgen	_	_
legitimement	légitimement	ADVgen	_	_
leiement	laiement	ADVgen	_	_
leiement	liément	ADVgen	_	_
leyns	léans	ADVgen	_	_
libéralement	libéralement	ADVgen	_	_
liberalment	libéralement	ADVgen	_	_
licitement	licitement	ADVgen	_	_
lïemant	liément	ADVgen	_	_
lïement	liément	ADVgen	_	_
loablement	louablement	ADVgen	_	_
loiaulment	loyalement	ADVgen	_	_
loingn	loin	ADVgen	_	_
longnet	loignet	ADVgen	_	_
longtemps	longtemps	ADVgen	_	_
longuettement	longuettement	ADVgen	_	_
lóres	lors	ADVgen	_	_
loyalement	loyalement	ADVgen	_	_
loyaulment	loyalement	ADVgen	_	_
loyaumen	loyalement	ADVgen	_	_
loyaumen	loyamment	ADVgen	_	_
lubrement	lubrement	ADVgen	_	_
lucques	luec	ADVgen	_	_
luekes	luec	ADVgen	_	_
luien	loin	ADVgen	_	_
magnifestement	manifestement	ADVgen	_	_
maishuy	maishui	ADVgen	_	_
mallement	malement	ADVgen	_	_
meesment	mêmement	ADVgen	_	_
meintenaunt	maintenant	ADVgen	temps	_
meïsmement	mêmement	ADVgen	_	_
melodieusement	mélodieusement	ADVgen	_	_
menuëment	menuement	ADVgen	_	_
meschantement	méchamment	ADVgen	_	_
meschantement	méchantement	ADVgen	_	_
meshuy	maishui	ADVgen	_	_
mesouan	maisouan	ADVgen	_	_
mesouen	maisouan	ADVgen	_	_
meux	mieux	ADVgen	_	_
meyntenant	maintenant	ADVgen	temps	_
meyntenaunt	maintenant	ADVgen	temps	_
meynz	main	ADVgen	_	_
meysme	même	ADVgen	_	_
meysmement	mêmement	ADVgen	_	_
meysmes	même	ADVgen	_	_
mignonnement	mignonnement	ADVgen	_	_
modereement	modérément	ADVgen	_	_
moiennement	moyennement	ADVgen	_	_
mortalment	mortellement	ADVgen	_	_
myeulx	mieux	ADVgen	_	_
nagueres	naguère	ADVgen	temps	_
naguères	naguère	ADVgen	temps	_
naguieres	naguère	ADVgen	temps	_
naini	nenni	ADVgen	_	_
naturalmant	naturellement	ADVgen	_	_
natureilment	naturellement	ADVgen	_	_
naturellement	naturellement	ADVgen	_	_
neanmains	néanmoins	ADVgen	_	_
neantmains	néanmoins	ADVgen	_	_
neantmoings	néanmoins	ADVgen	_	_
neantmoins	néanmoins	ADVgen	_	_
néantmoins	néanmoins	ADVgen	_	_
neccessairement	nécessairement	ADVgen	_	_
negligemment	négligemment	ADVgen	_	_
negligenment	négligemment	ADVgen	_	_
néïs	neïs	ADVgen	_	_
nel	ne.il	ADVneg.PROper	négation	_
nel	ne.le	ADVneg.PROper	négation	_
nel	ne	ADVneg.PROper	négation	_
neln	ne.me	ADVneg.PROper	négation	_
neln	ne.me	ADVneg.PROper	_	_
nequedan	nequedent	ADVgen	_	_
nès	neïs	ADVgen	_	_
níent	néant	ADVgen	_	_
nientmains	néanmoins	ADVgen	_	_
nób	ne	ADVgen	négation	_
noientmoins	néanmoins	ADVgen	_	_
nomément	nommément	ADVgen	_	_
nonpourtant	nonpourtant	ADVgen	_	_
nony	nenni	ADVgen	_	_
noueaz	ne	ADVgen	négation	_
noueaz	neïs	ADVgen	_	_
nualz	noals	ADVgen	_	_
nuitántre	nuitantre	ADVgen	_	_
nyentmoins	néanmoins	ADVgen	_	_
obedientement	obédientement	ADVgen	_	_
óí	hui	ADVgen	_	_
oncores	encore	ADVgen	_	_
ordeneemant	ordonnément	ADVgen	_	_
ordinairement	ordinairement	ADVgen	_	_
ordinéement	ordinément	ADVgen	_	_
ordonneement	ordonnément	ADVgen	_	_
ordonnéement	ordonnément	ADVgen	_	_
orgueilleusement	orgueilleusement	ADVgen	_	_
orguelleusement	orgueilleusement	ADVgen	_	_
oriblement	horriblement	ADVgen	_	_
ossy	aussi	ADVgen	_	_
ouïl	oui	ADVgen	_	_
outrageusement	outrageusement	ADVgen	_	_
ouvertement	ouvertement	ADVgen	_	_
ouyl	oui	ADVgen	_	_
ovesqes	avec	ADVgen	_	_
ovesque	avec	ADVgen	_	_
paciamment	patiemment	ADVgen	_	_
pacianment	patiemment	ADVgen	_	_
paciemment	patiemment	ADVgen	_	_
pacienment	patiemment	ADVgen	_	_
paoureusement	peureusement	ADVgen	_	_
paravant	paravant	ADVgen	_	_
pardeçà	pardeça	ADVgen	_	_
pardehors	pardehors	ADVgen	_	_
parellement	pareillement	ADVgen	_	_
parfaictement	parfaitement	ADVgen	_	_
partant	partant	ADVgen	_	_
patiemment	patiemment	ADVgen	_	_
patienment	patiemment	ADVgen	_	_
patientement	patientement	ADVgen	_	_
perdurablement	perdurablement	ADVgen	_	_
perfaictement	parfaitement	ADVgen	_	_
permanablement	permanablement	ADVgen	_	_
perpetuellement	perpétuellement	ADVgen	_	_
perro	pero	ADVgen	_	_
personnelement	personnellement	ADVgen	_	_
pesantement	pesamment	ADVgen	_	_
pesiblement	paisiblement	ADVgen	_	_
pïament	piuement	ADVgen	_	_
piça	piéça	ADVgen	_	_
piec'a	piéça	ADVgen	_	_
piecea	piéça	ADVgen	_	_
piecza	piéça	ADVgen	_	_
plaisamment	plaisamment	ADVgen	_	_
plantiuousement	plantureusement	ADVgen	_	_
pleneirement	plénièrement	ADVgen	_	_
plenement	pleinement	ADVgen	_	_
plenirement	plénièrement	ADVgen	_	_
pleynement	pleinement	ADVgen	_	_
pleynement	plainement	ADVgen	_	_
plustost	plutôt	ADVgen	_	_
plustôt	plutôt	ADVgen	_	_
poinct	point	ADVgen	négation	_
pourousement	peureusement	ADVgen	_	_
pourousement	proeusement	ADVgen	_	_
precieusement	précieusement	ADVgen	_	_
précieusement	précieusement	ADVgen	_	_
premièrement	premièrement	ADVgen	_	_
premirement	premièrement	ADVgen	_	_
présentement	présentement	ADVgen	_	_
preudhommement	prudhommément	ADVgen	_	_
préz	près	ADVgen	_	_
primerment	premièrement	ADVgen	_	_
primerment	primement	ADVgen	_	_
primo	primo	ADVgen	_	_
principalement	principalement	ADVgen	_	_
principallement	principalement	ADVgen	_	_
princypalment	principalement	ADVgen	_	_
priueiement	privément	ADVgen	_	_
privéement	privément	ADVgen	_	_
privéément	privément	ADVgen	_	_
priveiement	privément	ADVgen	_	_
privément	privément	ADVgen	_	_
promptement	promptement	ADVgen	_	_
prouchainnement	prochainement	ADVgen	_	_
proufitablement	profitablement	ADVgen	_	_
prudentement	prudemment	ADVgen	_	_
prudentement	prudentement	ADVgen	_	_
prueceinement	prochainement	ADVgen	_	_
prumierement	premièrement	ADVgen	_	_
puaunt	puer	ADVgen	_	_
publicquement	publiquement	ADVgen	_	_
pueront	puer	ADVgen	_	_
puissamment	puissamment	ADVgen	_	_
puissaument	puissamment	ADVgen	_	_
puissedy	puissedi	ADVgen	temps	_
pys	pis	ADVgen	_	_
quarto	quarto	ADVgen	_	_
quasi	quasi	ADVgen	_	_
quelquefois	quelquefois	ADVgen	temps	_
quia	quia	ADVgen	_	_
quictement	quittement	ADVgen	_	_
quoiement	coiement	ADVgen	_	_
quoyement	coiement	ADVgen	_	_
raidement	radement	ADVgen	_	_
raidement	raidement	ADVgen	_	_
rainablement	raisonnablement	ADVgen	_	_
raisonnablement	raisonnablement	ADVgen	_	_
realment	réellement	ADVgen	_	_
rëaument	réaument	ADVgen	_	_
redre	retro	ADVgen	_	_
religieusement	religieusement	ADVgen	_	_
repunsement	reponsement	ADVgen	_	_
reveramment	révéremment	ADVgen	_	_
rigoreusement	rigoureusement	ADVgen	_	_
rigoureusement	rigoureusement	ADVgen	_	_
roydement	raidement	ADVgen	_	_
rudettement	rudettement	ADVgen	_	_
sainctement	saintement	ADVgen	_	_
sainemant	sainement	ADVgen	_	_
sajement	sagement	ADVgen	_	_
salutairement	salutairement	ADVgen	_	_
samblablement	semblablement	ADVgen	_	_
sbien	bien	ADVgen	_	_
sceurement	sûrement	ADVgen	_	_
