form	lemma_def	pos	genre	src_mot	nombre
annemi	ennemi	NOMcom	masc		sg|pl
annemis	ennemi	NOMcom	masc		sg|pl
annemyté	ennemitié	NOMcom	fem		sg
annemyté	inimitié	NOMcom	fem		sg
annequin	annequin	NOMcom	masc		sg|pl
annequin	hanequin	NOMcom	masc		sg|pl
anniversaire	anniversaire	NOMcom	masc		sg|pl
annors	honneur	NOMcom	masc		sg|pl
annuente	amont	NOMcom	masc		sg|pl
annunciacion	annonciation	NOMcom	fem		sg
anoy	ennui	NOMcom	masc		sg|pl
anpere	empire	NOMcom	masc		sg|pl
anpereor	empereur	NOMcom	masc		sg|pl
anpereres	empereur	NOMcom	masc		sg|pl
anrmes	âme	NOMcom	fem		pl
ansoigne	ensoigne	NOMcom	fem		sg
ansoignes	ensoigne	NOMcom	fem		pl
antaille	andouille	NOMcom	fem		sg
antaille	entaille	NOMcom	fem		sg
antailleüre	entaillure	NOMcom	fem		sg
antailleüres	entaillure	NOMcom	fem		pl
antaines	antienne	NOMcom	fem		pl
antancion	intention	NOMcom	fem		sg
antefiners	antiphonier	NOMcom	masc		sg|pl
antequité	antiquité	NOMcom	fem		sg
antiefne	ancien	NOMcom			
antiefne	andief	NOMcom	masc		sg|pl
antiefne	antienne	NOMcom	fem		sg
antieune	ancien	NOMcom			
antieune	antienne	NOMcom	fem		sg
antieune	autel	NOMcom	masc		sg|pl
antifrasin	antiphrasie	NOMcom	fem		sg
antifrasin	antiphrasim	NOMcom	fem		sg
antifrasis	antiphrase	NOMcom	fem		pl
antifrasis	antiphrasie	NOMcom	fem		pl
antiquitét	antiquité	NOMcom	fem		sg
antrecor	coeur	NOMcom	masc		sg|pl
antrecor	cor	NOMcom	masc		sg|pl
antrecor	entrecours	NOMcom	masc		sg|pl
antrees	entrée	NOMcom	fem		pl
anuncement	annoncement	NOMcom	masc		sg|pl
anunciaçoun	annonciation	NOMcom	fem		sg
anuy	ennui	NOMcom	masc		sg|pl
anuys	ennui	NOMcom	masc		sg|pl
anvie	envie	NOMcom	fem		sg
aornemens	adornement	NOMcom	masc		sg|pl
aornemens	aornement	NOMcom	masc		sg|pl
aournemens	aornement	NOMcom	masc		sg|pl
aournement	adornement	NOMcom	masc		sg|pl
aournement	aornement	NOMcom	masc		sg|pl
aparaille	appareille	NOMcom	fem		sg
aparéil	apparaux	NOMcom	masc		sg|pl
aparéil	appareil	NOMcom	masc		sg|pl
apelanz	appelant	NOMcom	masc		sg|pl
