	form_bfm	flp	lemma_bfm	cattex	feats_bfm	lemma_src	file_src_bfm	fl	fp
2286	deuroient	deuroient_devoir_verb	devoir	VERcjg	VerbForm=Fin	DMF, no_source	DialGreg2, DialGreg2_manual-seg_pos_lem, DialGreg2_pos_lem.tsv	deuroient_devoir	deuroient_verb
2287	responnent	responnent_répondre_verb	répondre	VERcjg	VerbForm=Fin	DMF	SGenPr1	responnent_répondre	responnent_verb
2288	loanges	loanges_löenge_noun	löenge	NOMcom	_	DECT	PercevalKu	loanges_löenge	loanges_noun
2289	Bauduins	bauduins_baudouin_propn	Baudouin	NOMpro	_	DMF	chartes_hain13, moree-cat	bauduins_baudouin	bauduins_propn
2290	conclurent	conclurent_conclure_verb	conclure	VERcjg	VerbForm=Fin	no_source	Jouvencel1_manual-seg_pos_lem	conclurent_conclure	conclurent_verb
2291	feroiez	feroiez_faire_verb	faire	VERcjg	VerbForm=Fin	DECT	YvainKu	feroiez_faire	feroiez_verb
2292	sosferte	sosferte_sofrir_verb	sofrir	VERppe	VerbForm=Part|Tense=Past	DECT	CligesKu	sosferte_sofrir	sosferte_verb
2293	morroient	morroient_morir_verb	morir	VERcjg	VerbForm=Fin	DECT	CligesKu	morroient_morir	morroient_verb
2294	assanblee	assanblee_assemblee_noun	assemblee	NOMcom	_	DECT	CligesKu, PercevalKu	assanblee_assemblee	assanblee_noun
2295	assanblee	assanblee_assembler_verb	assembler	VERppe	VerbForm=Part|Tense=Past	DECT	CligesKu	assanblee_assembler	assanblee_verb
2296	chière	chière_chère_noun	chère	NOMcom	_	no_source	Jouvencel1_manual-seg_pos_lem	chière_chère	chière_noun
2297	portat	portat_porter_verb	porter	VERcjg	VerbForm=Fin	DMF, no_source	AlexisRaM, cambps, DialGreg2, DialGreg2_manual-seg_pos_lem, DialGreg2_pos_lem.tsv	portat_porter	portat_verb
